feedback,preprocessed_answer,sentiment
I did not find it fun because I was excluded from the activity.,find fun exclud activ,1
"The workshop was great because everything was fun. One thing that I'd improve is that when you don't want to read, you don't have to try to.",workshop great everyth fun one thing id improv dont want read dont tri,1
These workshops have been amazing because we have been putting my good ideas into paper and making good choices. I will miss it a lot. - Jerima F,workshop amaz put good idea paper make good choic miss lot jerima f,1
The workshop was good but you ruined it. I got to perform. - Josh,workshop good ruin got perform josh,1
I did not like the workshop.,like workshop,2
It's okay. I do not like writing and it's boring but better than reading sir. People started at me for something I did not do and it's getting annoying and does not care.,okay like write bore better read sir peopl start someth get annoy care,1
I love all 4 weeks. Yosi was very kind to all of us and super cool.,love week yosi kind us super cool,1
I have enjoyed the workshop because it was fun making our own poems. I could improve more rhyming in my poem. - Kristy,enjoy workshop fun make poem could improv rhyme poem kristi,1
I have enjoyed the workshop because Yosi was supportive and kind. - Michelle GFA,enjoy workshop yosi support kind michel gfa,1
The workshop was amazing. It was good and everyone was nice and we danced. - Erik,workshop amaz good everyon nice danc erik,1
I have enjoyed this because I got to express myself and Yosi was really nice. - Syo,enjoy got express yosi realli nice syo,1
"This is the best workshop in like, less weekend, here to scam.",best workshop like less weekend scam,1
"At the start, I hated it but over time, I like how we did speeches and love it.",start hate time like speech love,0
Doesn't matter what people think of you.,doesnt matter peopl think,2
I felt normal in the workshop.,felt normal workshop,1
I like it! There was so much experience... I loved this workshop. It was brilliant.,like much experi love workshop brilliant,1
Spoken word was great. The only thing I am always missing but it was great.,spoken word great thing alway miss great,1
I learnt different types of singing methods and it was good.,learnt differ type sing method good,1
It helped me find my calling’.,help find call,2
‘I have enjoyed the workshops because it helped me express myself’,enjoy workshop help express,1
‘It made me less shy’,made less shi,0
‘I enjoyed the activities and the energy in this workshop because it motivated me to write more poems’,enjoy activ energi workshop motiv write poem,1
‘I’ve enjoyed the workshops because of the confidence I earned’,ive enjoy workshop confid earn,1
‘I have enjoyed these workshops because it allowed you to think and write what you want to write.’,enjoy workshop allow think write want write,1
‘I enjoyed the workshop because we were all able to speak to our class and they listened.’,enjoy workshop abl speak class listen,1
