question,answer,preprocessed_answer,sentiment
Q2: What have you learnt from these workshops?,A2: I had to poem in the dark,poem dark,0
Q2: What have you learnt from these workshops?,A: I have learnt a lot of things like don't be afraid to speak out.,learnt lot thing like dont afraid speak,2
Q2: What have you learnt from these workshops?,A2: I have learnt that you need to show respect others & listen to them.,learnt need show respect other listen,2
Q2. What have you learnt from these workshops?,A2. The new games that I learnt.,new game learnt,2
Q2. What have you learnt from these workshops?,A2. I learnt to speak louder and be less shy.,learnt speak louder less shi,0
Q2: What have you learnt from these workshops?,"A: I have learnt that you need to never give up, everything is possible and that you need to be less shy.",learnt need never give everyth possibl need less shi,0
Q2: What have you learnt from these workshops?,A2: I have learnt how to read and listen to others,learnt read listen other,2
Q2: What have you learnt from these workshops?,A2: I've learnt to be brave,ive learnt brave,2
Q2: What have you learnt from these workshops?,A2: Spoken word write better poems than before,spoken word write better poem,1
Q2: What have you learnt from these workshops?,A2: I have learnt to be safe and also that I could write poems,learnt safe also could write poem,1
Q2: What have you learnt from these workshops?,A2: To be brave,brave,2
Q2: What have you learnt from these workshops?,A2: To make better poems,make better poem,1
Q2: What have you learnt from these workshops?,A: I have learnt that practice makes perfect and you can be whoever you want to be.,learnt practic make perfect whoever want,2
Q2: What have you learnt from these workshops?,A: I have learnt that I need to be brave when I share something.,learnt need brave share someth,2
Q2: What have you learnt from these workshops?,A: I learnt to have fun when writing short sentences and how to free write.,learnt fun write short sentenc free write,2
Q2: What have you learnt from these workshops?,"A2: I have learnt that even if you don't think something is good, if you share it, you won't feel nervous.",learnt even dont think someth good share wont feel nervou,1
Q2: What have you learnt from these workshops?,A2: I have learnt how to rhyme better and I have also learnt how to write to be more creative.,learnt rhyme better also learnt write creativ,2
Q2: What have you learnt from these workshops?,A2: To be confident with speaking out loud and more speaking around other people.,confid speak loud speak around peopl,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be you and enjoy your life.,learnt enjoy life,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be creative in my writing and to be brave a little more.,learnt creativ write brave littl,2
Q2: What have you learnt from these workshops?,A2: Being loud is good.,loud good,1
Q2: What have you learnt from these workshops?,A2: Many things. I also learnt that I have to be loud and proud and just say how I feel about something. I learnt to speak confidently and loudly.,mani thing also learnt loud proud say feel someth learnt speak confid loudli,1
Q2: From today's sessions I have learnt_,A: How to rhyme better.,rhyme better,2
Q2: From today's sessions I have learnt_,A: It's really good to voice your poem.,realli good voic poem,2
Q2: From today__ sessions I have learnt_,A2: A new way to make and project poems.,new way make project poem,2
Q2: From today's sessions I have learnt...,A2: How to write good spoken word and how to perform.,write good spoken word perform,2
Q2: What have you learnt from these workshops?,A2: I learnt how to perform better,learnt perform better,2
Q2: What have you learnt from these workshops?,A2: I have learnt how to perform better,learnt perform better,2
Q2: What have you learnt from these workshops?,A2: I learnt to always be kind and we also learnt our spoken word,learnt alway kind also learnt spoken word,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be brave,learnt brave,2
Q2: What have you learnt from these workshops?,A2: How I learnt how to read good poems,learnt read good poem,2
Q2: What have you learnt from these workshops?,A2: I have learnt that we all are good writers in our own way and style,learnt good writer way style,2
Q2: What have you learnt from these workshops?,A2: How I learnt how to make good poems,learnt make good poem,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be brave,learnt brave,2
Q2: What have you learnt from these workshops?,A2: I have learnt that we all are good writers in our own way and style,learnt good writer way style,2
Q2: What have you learnt from these workshops?,A2: I learnt to always be kind. We also learnt our spoken word.,learnt alway kind also learnt spoken word,2
Q2: What have you learnt from these workshops?,A2: I have learnt how to perform better.,learnt perform better,2
Q2: What have you learnt from these workshops?,A2: I learnt how to perform better.,learnt perform better,2
Q2: What have you learnt from these workshops?,A: How to make fun poems and spoken word,make fun poem spoken word,2
Q2: What have you learnt from these workshops?,A: To be brave.,brave,2
Q2: What have you learnt from these workshops?,A: It's okay to be different.,okay differ,2
Q2: What have you learnt from these workshops?,"A: I have learnt more about performing such as voting, engaging, and quiet first.",learnt perform vote engag quiet first,1
Q2: What have you learnt from these workshops?,A: I learnt about honesty and love.,learnt honesti love,2
Q2. What have you learnt from these workshops?,A2. To be brave and write poets/spoken words,brave write poetsspoken word,2
Q2. What have you learnt from these workshops?,A2. When you can have a lot of fun and make spoken word.,lot fun make spoken word,1
Q2. What have you learnt from these workshops?,A2. That you will get better at things,get better thing,1
Q2. What have you learnt from these workshops?,A2. I got better at poetry.,got better poetri,2
Q2. What have you learnt from these workshops?,A2. Writing better,write better,2
Q2. What have you learnt from these workshops?,A2. I have learned that you can be confident or proud of yourself,learn confid proud,2
Q2. What have you learnt from these workshops?,A2. How to make cool poems and to be more confident in performing,make cool poem confid perform,2
